marca_masina;anul_fabricatiei;pretul;km_parcursi;tip_combustibil;tip_caroserie;tip_cutie_de_viteza
Hyundai;2014;15750;219000;Diesel;SUV;Automat?
Dacia;2023;9800;73054;GPL;Berlin?;Manual?
Hyundai;2011;5550;100000;Benzin?;Break;Manual?
Ford;2019;9449;141000;Diesel;Hatchback;Manual?
Ford;2013;5990;154000;Benzin?;Hatchback;Manual?
Fiat;2010;6550;100000;Benzin?;Hatchback;Automat?
Ford;2018;13949;113000;Benzin?;Hatchback;Automat?
Volkswagen;2014;13990;192000;Diesel;SUV;Automat?
Volkswagen;2014;8440;162000;Benzin?;Hatchback;Manual?
BMW;2019;20949;192000;Diesel;SUV;Automat?
Volkswagen;2012;5900;370000;Diesel;Berlin?;Manual?
Audi;2018;43950;147000;Diesel;Berlin?;Automat?
Toyota;2018;20949;64000;Hibrid;SUV;Automat?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
SsangYong;2024;21000;4000;Benzin?;SUV;Automat?
Audi;2012;9000;173800;Benzin?;Hatchback;Manual?
Ford;2019;11989;160000;Benzin?;SUV;Automat?
Peugeot;2019;11249;127000;Diesel;Hatchback;Manual?
Volkswagen;2010;6950;177000;Benzin?;Hatchback;Manual?
Ford;2020;11989;160000;Diesel;Hatchback;Manual?
Audi;2019;24949;158000;Benzin?;Berlin?;Automat?
Land Rover;2015;15450;215000;Diesel;SUV;Automat?
Dacia;2016;5989;232000;Diesel;Berlin?;Manual?
Mazda;2017;23448;86000;Diesel;SUV;Automat?
BMW;2011;13450;233000;Diesel;Berlin?;Automat?
Skoda;2019;23448;169000;Diesel;Berlin?;Automat?
Skoda;2013;6330;139000;Benzin?;Hatchback;Manual?
BMW;2010;13450;230000;Diesel;Berlin?;Automat?
Nissan;2019;17448;184000;Diesel;SUV;Automat?
Volvo;2015;25490;240000;Diesel;SUV;Automat?
BMW;2015;13200;225000;Diesel;Berlin?;Automat?
BMW;2014;12200;200000;Diesel;SUV;Automat?
Toyota;2022;22454;62000;Hibrid;SUV;Automat?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Peugeot;2020;26950;25000;Benzin?;SUV;Automat?
SsangYong;2024;21000;4000;Benzin?;SUV;Automat?
BMW;2019;45000;123000;Diesel;SUV;Automat?
Dacia;2016;7189;189500;Benzin?;Monovolum;Manual?
Ford;2018;7999;86000;Benzin?;Break;Manual?
Ford;2019;8989;100000;Benzin?;Hatchback;Manual?
Peugeot;2019;10989;149000;Diesel;Hatchback;Manual?
Ford;2019;15950;53500;Benzin?;Berlin?;Automat?
Audi;2012;12490;226000;Benzin?;Berlin?;Manual?
Suzuki;2017;16450;99900;Benzin?;SUV;Automat?
Volkswagen;2011;3450;157000;Benzin?;Hatchback;Manual?
Opel;2009;4750;133000;Benzin?;Hatchback;Automat?
Mercedes-Benz;2017;34450;112000;Diesel;SUV;Automat?
Ford;2018;16450;95000;Diesel;SUV;Automat?
Skoda;2021;26949;200000;Diesel;Berlin?;Automat?
Peugeot;2019;11448;128000;Diesel;Hatchback;Manual?
Ford;2018;16949;131000;Diesel;Berlin?;Automat?
Mazda;2015;11800;195400;Diesel;SUV;Automat?
Renault;2019;7999;80000;Benzin?;Hatchback;Manual?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
Audi;2019;24949;178000;Benzin?;Berlin?;Automat?
Mazda;2019;15749;186000;Benzin?;Hatchback;Automat?
Volkswagen;2019;17999;112000;Benzin?;Berlin?;Automat?
Volvo;2018;22950;162000;Diesel;Berlin?;Automat?
Kia;2014;12990;188000;Diesel;SUV;Manual?
BMW;2013;12450;209000;Diesel;Berlin?;Manual?
Audi;2012;11950;208000;Diesel;Berlin?;Manual?
Opel;2007;4750;136000;Benzin?;Hatchback;Manual?
Audi;2011;14450;230000;Diesel;Berlin?;Automat?
Hyundai;2019;11448;81808;Benzin?;Hatchback;Manual?
Porsche;2019;62949;137000;Benzin?;SUV;Automat?
BMW;2020;54989;56900;Benzin?;SUV;Automat?
Volkswagen;2013;9990;176000;Benzin?;Hatchback;Manual?
Audi;2012;13250;181000;Benzin?;Berlin?;Manual?
SsangYong;2024;21000;4000;Benzin?;SUV;Automat?
Peugeot;2020;26950;25000;Benzin?;SUV;Automat?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Opel;2019;14949;136000;Benzin?;Berlin?;Automat?
Audi;2013;14450;228000;Diesel;Break;Automat?
Dacia;2019;13449;96000;Diesel;SUV;Manual?
Hyundai;2021;14749;71506;Benzin?;SUV;Manual?
Skoda;2019;9450;178000;Benzin?;Break;Manual?
Dacia;2020;8249;171700;Diesel;Monovolum;Manual?
Renault;2021;16749;83800;Benzin?;SUV;Automat?
Ford;2020;17950;76000;Diesel;Berlin?;Automat?
Opel;2016;9950;79000;Benzin?;Hatchback;Automat?
BMW;2019;26950;221000;Hibrid;Berlin?;Automat?
Volkswagen;2023;28499;62400;Benzin?;SUV;Automat?
Volkswagen;2019;13949;205934;Benzin?;Hatchback;Manual?
Volkswagen;2020;14449;177000;Benzin?;Hatchback;Automat?
Mercedes-Benz;2018;47950;138000;Diesel;Berlin?;Automat?
Skoda;2021;12450;115000;Benzin?;Hatchback;Manual?
Ford;2021;18989;184000;Diesel;SUV;Automat?
Renault;2019;8950;84207;Diesel;Hatchback;Manual?
Ford;2019;17449;58000;Hibrid;Berlin?;Automat?
Toyota;2020;18950;79000;Benzin?;Berlin?;Automat? (CVT)
Volkswagen;2008;5000;229000;Diesel;Break;Automat?
Renault;2016;15450;199690;Diesel;Berlin?;Automat?
Volvo;2016;25950;202000;Diesel;SUV;Automat?
Renault;2017;19990;132000;Diesel;SUV;Automat?
Mercedes-Benz;2007;6600;236000;Diesel;SUV;Automat?
Ford;2021;15950;33519;Benzin?;Hatchback;Automat?
Renault;2016;9599;214000;Diesel;Microbuz;Manual?
