marca_masina,anul_fabricatiei,pretul,km_parcursi,tip_combustibil,tip_caroserie,tip_cutie_de_viteza
Ford,2012,6550,153000,Benzină,Hatchback,Manuală
Mercedes-Benz,2017,18950,173000,Benzină,Berlină,Automată
Volkswagen,2011,8750,140000,Benzină,Hatchback,Automată
Skoda,2020,21449,150000,Benzină,Berlină,Automată
Dacia,2023,9800,37452,GPL,Berlină,Manuală
Renault,2009,6330,165000,Benzină,Monovolum,Manuală
Hyundai,2014,15750,219000,Diesel,SUV,Automată
Dacia,2023,9800,73054,GPL,Berlină,Manuală
Hyundai,2011,5550,100000,Benzină,Break,Manuală
Ford,2019,9449,141000,Diesel,Hatchback,Manuală
Ford,2013,5990,154000,Benzină,Hatchback,Manuală
Fiat,2010,6550,100000,Benzină,Hatchback,Automată
Ford,2018,13949,113000,Benzină,Hatchback,Automată
Volkswagen,2014,13990,192000,Diesel,SUV,Automată
Volkswagen,2014,8440,162000,Benzină,Hatchback,Manuală
BMW,2019,20949,192000,Diesel,SUV,Automată
Volkswagen,2012,5900,370000,Diesel,Berlină,Manuală
Audi,2018,43950,147000,Diesel,Berlină,Automată
Toyota,2018,20949,64000,Hibrid,SUV,Automată
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
SsangYong,2024,21000,4000,Benzină,SUV,Automată
Audi,2012,9000,173800,Benzină,Hatchback,Manuală
Ford,2019,11989,160000,Benzină,SUV,Automată
Peugeot,2019,11249,127000,Diesel,Hatchback,Manuală
Volkswagen,2010,6950,177000,Benzină,Hatchback,Manuală
Ford,2020,11989,160000,Diesel,Hatchback,Manuală
Audi,2019,24949,158000,Benzină,Berlină,Automată
Land Rover,2015,15450,215000,Diesel,SUV,Automată
Dacia,2016,5989,232000,Diesel,Berlină,Manuală
Mazda,2017,23448,86000,Diesel,SUV,Automată
BMW,2011,13450,233000,Diesel,Berlină,Automată
Skoda,2019,23448,169000,Diesel,Berlină,Automată
Skoda,2013,6330,139000,Benzină,Hatchback,Manuală
BMW,2010,13450,230000,Diesel,Berlină,Automată
Nissan,2019,17448,184000,Diesel,SUV,Automată
Volvo,2015,25490,240000,Diesel,SUV,Automată
BMW,2015,13200,225000,Diesel,Berlină,Automată
BMW,2014,12200,200000,Diesel,SUV,Automată
Toyota,2022,22454,62000,Hibrid,SUV,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
Peugeot,2020,26950,25000,Benzină,SUV,Automată
SsangYong,2024,21000,4000,Benzină,SUV,Automată
BMW,2019,45000,123000,Diesel,SUV,Automată
Dacia,2016,7189,189500,Benzină,Monovolum,Manuală
Ford,2018,7999,86000,Benzină,Break,Manuală
Ford,2019,8989,100000,Benzină,Hatchback,Manuală
Peugeot,2019,10989,149000,Diesel,Hatchback,Manuală
Ford,2019,15950,53500,Benzină,Berlină,Automată
Audi,2012,12490,226000,Benzină,Berlină,Manuală
Suzuki,2017,16450,99900,Benzină,SUV,Automată
Volkswagen,2011,3450,157000,Benzină,Hatchback,Manuală
Opel,2009,4750,133000,Benzină,Hatchback,Automată
Mercedes-Benz,2017,34450,112000,Diesel,SUV,Automată
Ford,2018,16450,95000,Diesel,SUV,Automată
Skoda,2021,26949,200000,Diesel,Berlină,Automată
Peugeot,2019,11448,128000,Diesel,Hatchback,Manuală
Ford,2018,16949,131000,Diesel,Berlină,Automată
Mazda,2015,11800,195400,Diesel,SUV,Automată
Renault,2019,7999,80000,Benzină,Hatchback,Manuală
Opel,2011,4900,191300,Diesel,Berlină,Automată
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Audi,2019,24949,178000,Benzină,Berlină,Automată
Mazda,2019,15749,186000,Benzină,Hatchback,Automată
Volkswagen,2019,17999,112000,Benzină,Berlină,Automată
Volvo,2018,22950,162000,Diesel,Berlină,Automată
Kia,2014,12990,188000,Diesel,SUV,Manuală
BMW,2013,12450,209000,Diesel,Berlină,Manuală
Audi,2012,11950,208000,Diesel,Berlină,Manuală
Opel,2007,4750,136000,Benzină,Hatchback,Manuală
Audi,2011,14450,230000,Diesel,Berlină,Automată
Hyundai,2019,11448,81808,Benzină,Hatchback,Manuală
Porsche,2019,62949,137000,Benzină,SUV,Automată
BMW,2020,54989,56900,Benzină,SUV,Automată
Volkswagen,2013,9990,176000,Benzină,Hatchback,Manuală
Audi,2012,13250,181000,Benzină,Berlină,Manuală
